config,n_platforms,rho_e,alpha,iteration,platform_id,n_bursts,slope,r2,classification
exp2_np27_rho005_alpha10,27,0.05,10,48,907,5,0.5999999999999992,0.04225352112676062,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,48,914,4,0.3999999999999984,0.024242424242424176,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,48,915,5,1.1,0.0639534883720928,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,48,920,3,-0.5000000000000001,0.75,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,48,923,3,8.5,0.793956043956044,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,48,924,3,0.5000000000000041,0.004098360655737654,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,50,901,5,-0.6999999999999982,0.05493273542600907,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,50,902,6,1.1714285714285728,0.25322621139844304,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,50,903,3,0.4999999999999993,0.2500000000000009,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,50,908,4,-4.100000000000003,0.8023866348448687,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,50,909,3,-2.0000000000000013,0.4285714285714284,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,50,912,3,-5.000000000000003,0.6756756756756757,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,50,926,4,0.0999999999999996,0.0004434589800441646,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,49,910,3,2.9999999999999996,0.870967741935484,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,54,903,4,-3.8000000000000034,0.7078431372549019,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,54,906,3,1.588821858078255e-15,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,54,907,3,5.9999999999999964,0.75,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,52,912,3,1.0000000000000002,0.4285714285714285,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,52,916,3,-1.0000000000000002,1.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,52,920,3,0.9999999999999986,0.75,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,53,904,4,-2.100000000000002,0.2730650154798764,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,53,910,3,-3.000000000000001,0.8709677419354838,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,53,925,8,-0.3095238095238087,0.04818933561448524,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,53,926,4,-3.2000000000000015,0.5278350515463919,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,55,918,3,0.5000000000000024,0.010273972602739767,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,58,901,3,0.4999999999999993,0.03571428571428614,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,58,903,4,2.4999999999999973,0.49800796812749004,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,58,908,4,2.3999999999999986,0.27428571428571435,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,58,909,3,0.0,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,58,916,3,1.499999999999998,0.7499999999999993,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,58,918,4,0.6999999999999954,0.0311111111111112,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,58,923,3,1.0000000000000002,0.25,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,60,905,4,-1.8000000000000038,0.4764705882352943,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,60,912,3,-0.4999999999999985,0.01744186046511631,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,61,901,4,1.199999999999999,0.6000000000000001,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,61,911,3,3.499999999999998,0.9423076923076924,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,61,927,3,-3.000000000000001,0.6279069767441863,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,63,920,6,0.8285714285714293,0.07378271677145776,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,63,925,4,2.7999999999999976,0.7000000000000001,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,65,906,3,4.4999999999999964,0.9067164179104477,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,65,910,3,2.000000000000001,0.9230769230769229,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,65,913,4,-1.0000000000000009,0.17241379310344807,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,65,917,3,-0.9999999999999986,0.15789473684210542,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,65,922,3,1.9999999999999996,0.9230769230769232,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,65,926,5,0.999999999999999,0.18248175182481752,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,68,904,4,-2.600000000000003,0.438961038961039,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,68,911,5,-0.5999999999999992,0.0562499999999998,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,68,919,3,5.999999999999997,0.923076923076923,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,68,923,3,-2.0000000000000013,0.4285714285714284,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,67,906,3,-1.5000000000000004,0.9642857142857143,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,67,921,4,0.2999999999999974,0.02168674698795181,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,69,904,3,3.4999999999999982,0.5485074626865669,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,69,909,4,0.5999999999999986,0.04390243902438962,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,69,913,4,0.9999999999999984,0.09999999999999976,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,69,921,4,-1.1000000000000023,0.13519553072625723,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,69,922,3,-4.500000000000002,0.8321917808219179,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,69,924,3,2.0000000000000018,0.7500000000000004,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,69,925,6,-0.3714285714285698,0.03062518876472342,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,69,927,4,0.19999999999999873,0.009090909090908927,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,71,913,4,0.39999999999999797,0.014285714285714346,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,71,914,5,6.48633807412066e-16,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,71,916,3,0.5000000000000009,0.7500000000000009,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,71,918,3,1.5000000000000004,0.04856115107913683,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,71,926,4,-1.6000000000000036,0.6095238095238096,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,71,927,4,0.6999999999999967,0.048275862068965725,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,74,905,4,-0.10000000000000293,0.0005063291139241199,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,74,906,5,-0.5999999999999992,0.026315789473684403,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,74,911,3,1.9999999999999996,0.75,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,74,914,4,-1.4000000000000012,0.11395348837209285,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,74,915,4,1.499999999999998,0.8823529411764706,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,74,926,4,0.2999999999999974,0.006185567010309145,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,73,903,3,7.944109290391275e-16,-6.661338147750939e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,73,923,3,1.9999999999999991,0.9230769230769229,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,73,927,3,1.500000000000001,0.9642857142857144,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,76,905,3,3.0,0.35526315789473706,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,76,914,3,7.499999999999997,0.9868421052631579,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,76,916,6,-0.4285714285714265,0.029001074113855774,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,76,918,3,-4.499999999999999,0.402317880794702,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,76,922,3,4.4999999999999964,0.4023178807947019,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,76,924,4,5.3,0.6996264009962642,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,80,908,5,3.0999999999999988,0.787704918032787,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,80,909,4,-1.2000000000000015,0.0818181818181819,raiding_stable
