step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
44,6.435180,0.018977,639.090000,4.152380,161.280000,3.746022,99.630000,2.025883,612.220000,4.678800,10.595000,1.950081,601.625000,4.247462,11.860688,0.120382,5.832346,0.020815,6.108227,0.025342,6.272144,0.055694,8.882866,0.097997
45,6.422709,0.020509,641.990000,4.064817,158.870000,3.603049,99.140000,2.195397,613.240000,4.678904,9.285000,1.801541,603.955000,4.627003,11.938241,0.125810,5.809872,0.023179,6.085471,0.027647,6.271001,0.053837,8.936111,0.095183
46,6.433951,0.020368,637.350000,3.742635,163.180000,3.226201,99.470000,1.899778,613.710000,4.349235,10.450000,1.755979,603.260000,4.064609,11.861050,0.116110,5.830940,0.021753,6.094746,0.026561,6.287367,0.055807,8.921214,0.089622
47,6.450153,0.019580,637.610000,3.923121,161.900000,3.224173,100.490000,2.122293,613.660000,4.731486,10.080000,1.824962,603.580000,4.405831,11.966998,0.115932,5.837171,0.020828,6.114087,0.026705,6.298478,0.051282,8.889555,0.086241
48,6.431824,0.020259,638.595000,4.060805,162.530000,3.565797,98.875000,2.019232,616.835000,4.458564,11.015000,1.959137,605.820000,4.022970,11.907324,0.118794,5.823435,0.021248,6.090708,0.027149,6.270872,0.056014,8.984399,0.094501
49,6.428670,0.018418,636.185000,4.095172,163.715000,3.555943,100.100000,2.115506,614.520000,4.158948,11.680000,1.985334,602.840000,3.920429,11.868537,0.119945,5.824240,0.020602,6.093128,0.026113,6.270122,0.057309,8.908174,0.090935
50,6.421996,0.020791,635.935000,4.055738,163.665000,3.652774,100.400000,1.896935,612.690000,4.792295,10.855000,1.864054,601.835000,4.322101,11.911484,0.116824,5.812053,0.022346,6.090107,0.028179,6.230825,0.054973,8.901621,0.094507
51,6.430021,0.020619,636.630000,4.099418,162.280000,3.519869,101.090000,2.094099,613.695000,4.919212,10.685000,1.855812,603.010000,4.500564,11.937537,0.117453,5.818074,0.022916,6.088836,0.027746,6.266754,0.057093,8.908407,0.089801
52,6.447327,0.021367,636.350000,4.293802,162.535000,3.691090,101.115000,2.150988,610.095000,4.999001,10.220000,1.775245,599.875000,4.724269,11.973267,0.123941,5.833334,0.022143,6.105639,0.027157,6.292064,0.059923,8.939555,0.094482
53,6.428122,0.020478,637.780000,3.718583,163.160000,3.355625,99.060000,1.952828,609.840000,4.852800,9.450000,1.659440,600.390000,4.541806,11.921692,0.114898,5.817726,0.022619,6.085163,0.028378,6.246033,0.048140,9.002630,0.095048
