step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
47,6.392667,0.019030,214.380000,1.695109,52.885000,1.424680,32.735000,1.282813,197.340000,1.817653,6.342782,0.020606,6.235802,0.039209,7.047137,0.049822
48,6.415883,0.020091,213.445000,1.626004,53.510000,1.357714,33.045000,1.184692,195.130000,1.996946,6.380201,0.023245,6.202518,0.035588,7.037627,0.049316
49,6.380650,0.019953,212.980000,1.665607,54.190000,1.383028,32.830000,1.266428,198.955000,1.832770,6.343712,0.023071,6.173798,0.040286,7.018468,0.047036
50,6.385733,0.018293,211.955000,1.653062,54.155000,1.340263,33.890000,1.209965,197.950000,1.784117,6.344942,0.022363,6.202118,0.038777,6.982469,0.049522
51,6.399083,0.019901,213.585000,1.661505,53.815000,1.292901,32.600000,1.289606,198.635000,2.051820,6.353302,0.022238,6.210513,0.040777,7.064504,0.049323
52,6.387050,0.019512,212.060000,1.666689,54.085000,1.329030,33.855000,1.245935,197.245000,1.880761,6.342646,0.021970,6.209700,0.041820,6.998351,0.048664
53,6.390500,0.018054,212.565000,1.600388,55.110000,1.345273,32.325000,1.232032,198.465000,1.822502,6.340485,0.020625,6.211547,0.040345,7.087792,0.048916
54,6.392733,0.019302,211.665000,1.764617,55.270000,1.401698,33.065000,1.332606,197.960000,2.034893,6.345458,0.022291,6.233595,0.036563,7.035466,0.049048
55,6.399583,0.018488,213.560000,1.706577,54.135000,1.335471,32.305000,1.198536,196.860000,2.097178,6.357262,0.021892,6.226017,0.037647,7.010608,0.048711
56,6.401233,0.019921,213.075000,1.583738,54.225000,1.432669,32.700000,1.261303,195.760000,1.954488,6.347933,0.022778,6.264221,0.033658,7.036906,0.051930
57,6.383883,0.020987,212.570000,1.732558,54.385000,1.390079,33.045000,1.258415,198.210000,1.735457,6.338540,0.022891,6.195058,0.039243,7.052440,0.049974
58,6.393067,0.018640,212.275000,1.765473,54.645000,1.286226,33.080000,1.271240,196.175000,1.786857,6.351123,0.021082,6.199165,0.038311,7.038006,0.048293
59,6.385783,0.017495,212.280000,1.602653,54.870000,1.246083,32.850000,1.183099,197.660000,1.971903,6.337140,0.021745,6.223075,0.034498,7.009217,0.047333
60,6.381717,0.018083,213.780000,1.649254,53.805000,1.419148,32.415000,1.178155,197.410000,1.892105,6.318912,0.021717,6.228154,0.035584,7.105117,0.046546
61,6.407983,0.018745,213.230000,1.715944,53.955000,1.411004,32.815000,1.309517,196.925000,2.076684,6.366925,0.021918,6.220888,0.037486,7.022952,0.051431
62,6.400433,0.018354,212.740000,1.693723,54.445000,1.395970,32.815000,1.324906,196.740000,1.947513,6.347078,0.021106,6.243032,0.036297,7.070427,0.050654
63,6.394583,0.018526,214.115000,1.709658,53.595000,1.273344,32.290000,1.288977,197.275000,1.880733,6.343328,0.022266,6.221711,0.039025,7.066329,0.046757
64,6.383183,0.018689,213.515000,1.756651,53.605000,1.431892,32.880000,1.216708,197.300000,1.858173,6.339773,0.020836,6.192087,0.042434,7.047204,0.053581
65,6.391783,0.019650,213.605000,1.593759,54.325000,1.295650,32.070000,1.178583,196.480000,1.984760,6.342657,0.023548,6.202598,0.036720,7.095890,0.050290
66,6.396700,0.017595,213.245000,1.725244,53.910000,1.359078,32.845000,1.283988,197.115000,2.001961,6.355993,0.019912,6.196441,0.040772,7.034510,0.047469
67,6.379433,0.019096,212.055000,1.768055,54.865000,1.426812,33.080000,1.263395,199.000000,1.883352,6.336826,0.022391,6.198080,0.038850,7.000079,0.053239
68,6.400883,0.020067,212.545000,1.702905,54.260000,1.283322,33.195000,1.262198,197.440000,1.901542,6.366398,0.023534,6.210013,0.035996,7.000491,0.050719
69,6.391400,0.017838,213.905000,1.654363,52.595000,1.329925,33.500000,1.295953,197.920000,1.727473,6.338282,0.020193,6.246772,0.035093,7.029773,0.046330
70,6.379750,0.017921,212.125000,1.721012,54.520000,1.287656,33.355000,1.273860,197.590000,1.826063,6.333752,0.022365,6.204882,0.035605,7.023227,0.052544
71,6.390900,0.019385,212.845000,1.715797,54.145000,1.235354,33.010000,1.336794,197.345000,1.861681,6.347575,0.022193,6.219497,0.040563,7.022682,0.054002
72,6.401000,0.020363,212.715000,1.550505,53.845000,1.309593,33.440000,1.223597,196.145000,2.000428,6.356085,0.022817,6.221583,0.037154,7.021793,0.050541
73,6.404883,0.020267,213.190000,1.683271,53.470000,1.438953,33.340000,1.240659,197.715000,1.999799,6.354937,0.022151,6.247755,0.039301,7.021191,0.048596
74,6.391083,0.020045,213.570000,1.609765,53.875000,1.348079,32.555000,1.236393,197.000000,2.041861,6.354279,0.021920,6.194260,0.039584,7.031307,0.049629
75,6.393883,0.020232,212.765000,1.648482,54.670000,1.234628,32.565000,1.345831,197.595000,2.011672,6.349369,0.023037,6.199430,0.036167,7.066050,0.052620
76,6.396833,0.020171,213.080000,1.799127,53.790000,1.375905,33.130000,1.330158,197.825000,1.825389,6.350266,0.022557,6.219876,0.037976,7.045755,0.051906
77,6.411750,0.018158,213.285000,1.772863,53.875000,1.458741,32.840000,1.284840,195.530000,1.874357,6.363972,0.021233,6.249092,0.039239,7.052272,0.051252
78,6.389200,0.019227,213.515000,1.712975,52.630000,1.266825,33.855000,1.396779,196.595000,2.068635,6.340082,0.023083,6.236034,0.038888,7.011788,0.051656
79,6.400283,0.019028,212.280000,1.703096,54.395000,1.334981,33.325000,1.289976,196.950000,1.914599,6.359721,0.021403,6.190744,0.035243,7.049091,0.052003
80,6.398817,0.019288,211.855000,1.617833,54.600000,1.371437,33.545000,1.207570,195.455000,1.892799,6.356725,0.022457,6.213050,0.040144,7.034859,0.048090
81,6.391100,0.018887,213.830000,1.666253,53.340000,1.360232,32.830000,1.282485,197.020000,1.926620,6.341183,0.021775,6.221866,0.035186,7.050086,0.047713
82,6.391383,0.019491,212.995000,1.643528,54.205000,1.249949,32.800000,1.297144,197.810000,1.870980,6.343598,0.023172,6.234812,0.038110,7.022715,0.049124
83,6.372967,0.020982,214.105000,1.611317,53.215000,1.331867,32.680000,1.275742,198.690000,1.833354,6.318957,0.023804,6.216619,0.036912,7.044287,0.050922
84,6.394933,0.019003,213.035000,1.633743,54.265000,1.320410,32.700000,1.260691,196.795000,1.891039,6.348748,0.023000,6.231954,0.040198,7.031759,0.048407
85,6.390433,0.019582,213.475000,1.869821,54.270000,1.424716,32.255000,1.242879,197.255000,1.983108,6.339245,0.023845,6.219266,0.037917,7.057604,0.050382
86,6.364033,0.019896,214.050000,1.510801,54.020000,1.304635,31.930000,1.183569,199.855000,1.746314,6.314782,0.023886,6.192211,0.037251,7.031561,0.049196
87,6.405750,0.018251,212.750000,1.694550,54.330000,1.303314,32.920000,1.252191,196.285000,1.813556,6.368059,0.022036,6.215144,0.037637,7.010831,0.048888
88,6.392583,0.019538,213.095000,1.832469,54.115000,1.478866,32.790000,1.257823,197.205000,1.828552,6.345481,0.022439,6.233404,0.036412,7.025939,0.049684
89,6.396317,0.018071,213.300000,1.758245,53.635000,1.334784,33.065000,1.237671,198.555000,1.891263,6.355519,0.020164,6.203506,0.037644,7.026283,0.049601
90,6.394467,0.020003,213.995000,1.658844,53.425000,1.345176,32.580000,1.164897,197.615000,1.994352,6.358652,0.022296,6.192979,0.039611,7.019223,0.047422
91,6.391033,0.019391,212.170000,1.608722,55.110000,1.247900,32.720000,1.157232,197.510000,1.852033,6.347636,0.022358,6.214897,0.035599,7.018507,0.051547
92,6.399217,0.016705,213.320000,1.744454,53.130000,1.277296,33.550000,1.329464,195.770000,1.688042,6.349410,0.020528,6.253024,0.039319,7.020900,0.054478
93,6.371383,0.018626,213.605000,1.735252,53.665000,1.381834,32.730000,1.192684,199.225000,2.024554,6.327054,0.023311,6.186683,0.036915,7.023965,0.051354
94,6.389133,0.018890,213.210000,1.627184,53.590000,1.232287,33.200000,1.230626,198.635000,1.938817,6.342205,0.022236,6.233731,0.036035,6.994143,0.052486
95,6.398750,0.018393,212.390000,1.820112,54.460000,1.458205,33.150000,1.152685,196.290000,1.795595,6.354941,0.021369,6.234828,0.041063,7.017643,0.049242
96,6.393300,0.018639,213.140000,1.545121,53.110000,1.275366,33.750000,1.082468,197.260000,1.892209,6.343533,0.023194,6.225557,0.036904,7.006487,0.046745
97,6.405367,0.019628,212.825000,1.750126,53.500000,1.399858,33.675000,1.241398,195.935000,1.872614,6.362229,0.022524,6.214025,0.039590,7.031107,0.045217
98,6.413467,0.019249,213.340000,1.624920,53.010000,1.318326,33.650000,1.210121,195.680000,1.959939,6.363662,0.022576,6.263677,0.040195,7.020422,0.050555
99,6.402583,0.018685,212.565000,1.580787,54.090000,1.312985,33.345000,1.216076,197.265000,1.878193,6.358370,0.021656,6.196148,0.038397,7.056754,0.050422
100,6.416967,0.017810,213.785000,1.744737,53.010000,1.349084,33.205000,1.263467,194.370000,1.992398,6.367712,0.021229,6.247574,0.036895,7.053994,0.047080
