step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
36,6.774085,0.032495,644.400000,8.038487,161.520000,7.180947,94.080000,2.771768,674.440000,10.209087,38.800000,7.742797,635.640000,5.054216,9.288967,0.148308,6.330282,0.029479,6.431551,0.046916,6.418252,0.081394,9.715665,0.094388
37,6.708950,0.032067,645.160000,9.689677,159.340000,8.866342,95.500000,2.729246,686.980000,7.899274,41.720000,7.921386,645.260000,4.078711,9.226110,0.139864,6.264745,0.028622,6.371734,0.043328,6.326937,0.060671,9.601771,0.093189
38,6.774348,0.032664,640.820000,8.215734,164.160000,8.247292,95.020000,2.461128,681.060000,10.134981,42.040000,7.817159,639.020000,5.113965,9.342143,0.135284,6.321208,0.033327,6.431789,0.038087,6.415566,0.076010,9.658537,0.091658
39,6.743695,0.029714,653.940000,8.468676,152.400000,7.900169,93.660000,2.501646,689.580000,10.157185,49.360000,7.493076,640.220000,5.564690,9.191092,0.134645,6.311802,0.033682,6.402795,0.043554,6.379548,0.055908,9.701611,0.097553
40,6.773473,0.030278,648.020000,6.961025,157.180000,7.045479,94.800000,2.059856,684.800000,8.441524,47.640000,6.597969,637.160000,5.467206,9.217008,0.155562,6.342261,0.026490,6.462820,0.033237,6.350944,0.060592,9.597024,0.069794
41,6.761888,0.034603,646.960000,8.695154,158.640000,7.966531,94.400000,2.450600,679.180000,9.355301,40.860000,7.644156,638.320000,5.029860,9.232549,0.135508,6.325889,0.032361,6.409674,0.042358,6.462290,0.067467,9.675789,0.100748
42,6.762763,0.030681,648.680000,8.386258,155.200000,7.462722,96.120000,2.782383,683.980000,8.222183,43.140000,7.455577,640.840000,4.474523,9.293073,0.117278,6.316238,0.029171,6.435335,0.038035,6.374998,0.059939,9.582682,0.080924
43,6.756520,0.027489,642.140000,8.357521,163.180000,7.850731,94.680000,2.492749,693.160000,8.915151,51.440000,7.299393,641.720000,5.291345,9.307923,0.119070,6.306272,0.028810,6.419951,0.035364,6.355308,0.073373,9.686985,0.093753
44,6.747333,0.032363,645.980000,8.253209,158.400000,8.062833,95.620000,2.664500,681.840000,8.868420,44.460000,7.198388,637.380000,4.979244,9.208009,0.120950,6.313096,0.032841,6.411805,0.040852,6.382655,0.061056,9.613171,0.091034
45,6.763059,0.033387,643.980000,8.046771,160.720000,7.134022,95.300000,2.740140,684.780000,8.840783,47.160000,7.197767,637.620000,5.534061,9.293120,0.145576,6.316577,0.032319,6.434338,0.038912,6.376920,0.075073,9.647414,0.087632
46,6.737550,0.029275,648.080000,8.436849,156.760000,7.720806,95.160000,2.599245,689.320000,9.345700,48.080000,7.394299,641.240000,5.526879,9.278870,0.135342,6.289082,0.029342,6.422090,0.036784,6.270757,0.050941,9.651256,0.095812
47,6.772046,0.035007,652.160000,6.971125,152.040000,6.568483,95.800000,2.523731,685.400000,8.972766,44.340000,7.628468,641.060000,5.992369,9.297851,0.152515,6.326316,0.030767,6.444862,0.045895,6.381935,0.056931,9.613426,0.092590
48,6.774596,0.031325,644.140000,8.639806,158.440000,8.633478,97.420000,2.221083,685.160000,9.960661,45.180000,8.156548,639.980000,5.211458,9.297476,0.149723,6.329381,0.029936,6.435873,0.041803,6.435215,0.052976,9.563362,0.090319
49,6.767026,0.026951,642.220000,7.936465,162.320000,8.298671,95.460000,2.584635,676.700000,8.332952,37.380000,7.959665,639.320000,5.253695,9.331847,0.130624,6.314410,0.029888,6.407138,0.036388,6.451797,0.069953,9.697266,0.098872
50,6.746411,0.027337,646.360000,8.898497,158.160000,8.836537,95.480000,2.312495,686.440000,9.616549,45.940000,7.496769,640.500000,5.559604,9.289617,0.119627,6.297610,0.026535,6.412687,0.035519,6.372413,0.052612,9.611954,0.095691
51,6.758389,0.032875,646.800000,9.438285,159.040000,9.044123,94.160000,2.142950,685.440000,8.353233,48.260000,6.494023,637.180000,5.499328,9.251084,0.125377,6.318502,0.028945,6.423768,0.041505,6.365623,0.058210,9.700038,0.090621
52,6.721960,0.029564,646.900000,7.267767,156.900000,7.569587,96.200000,2.278863,685.260000,9.473242,45.400000,7.667911,639.860000,5.693581,9.170692,0.137430,6.289831,0.034264,6.391799,0.037325,6.340700,0.070892,9.559758,0.094190
53,6.744195,0.022722,640.740000,7.380071,165.260000,7.029686,94.000000,2.569296,691.740000,7.840362,49.960000,6.746771,641.780000,4.731682,9.197995,0.114947,6.311171,0.026447,6.409514,0.029436,6.350561,0.067397,9.735070,0.103243
54,6.781371,0.030358,643.580000,8.779702,161.200000,8.576414,95.220000,2.495798,677.180000,10.027861,44.280000,7.074208,632.900000,6.835499,9.307720,0.128940,6.335545,0.030898,6.445913,0.038152,6.434599,0.059478,9.600056,0.073958
55,6.704419,0.028648,651.640000,7.688896,154.380000,7.318214,93.980000,2.763638,689.560000,7.586535,46.080000,7.385812,643.480000,4.853698,9.175063,0.148207,6.268423,0.029026,6.358245,0.033437,6.338769,0.074051,9.700459,0.085740
56,6.732746,0.040983,643.520000,7.809790,161.920000,7.319703,94.560000,2.302247,681.420000,11.424287,44.700000,7.283499,636.720000,6.418059,9.117782,0.188234,6.311857,0.035110,6.406917,0.049982,6.336345,0.063949,9.620841,0.086192
57,6.723703,0.029251,637.400000,9.714991,167.200000,8.894662,95.400000,2.566853,682.220000,8.592541,44.000000,7.719067,638.220000,4.786048,9.165839,0.143339,6.292738,0.033539,6.394691,0.039307,6.323335,0.063365,9.633206,0.095061
58,6.720807,0.028328,643.100000,8.653450,161.080000,8.608138,95.820000,2.536553,689.780000,7.785670,50.220000,6.417876,639.560000,5.176036,9.177291,0.135988,6.287310,0.032946,6.390668,0.035427,6.321447,0.072200,9.607258,0.093139
59,6.746734,0.037768,642.000000,8.458596,160.540000,8.293524,97.460000,2.964411,681.300000,9.677839,46.740000,7.327833,634.560000,5.491759,9.232260,0.149235,6.308112,0.037478,6.407646,0.046897,6.381710,0.075107,9.580945,0.097053
60,6.758445,0.033408,647.780000,8.141462,157.480000,7.234680,94.740000,2.423455,682.320000,10.481644,40.320000,8.282595,642.000000,4.782348,9.325841,0.140761,6.305375,0.028902,6.404905,0.042331,6.431232,0.069359,9.699112,0.094340
61,6.760529,0.033343,646.080000,8.598479,157.320000,8.020412,96.600000,2.771293,686.740000,8.975004,48.500000,7.355265,638.240000,5.265656,9.272828,0.126660,6.317183,0.033528,6.428144,0.043106,6.388976,0.062832,9.571660,0.102454
62,6.748847,0.031094,645.400000,7.505254,159.400000,7.580919,95.200000,2.649812,687.060000,8.411083,49.780000,6.906707,637.280000,4.962257,9.186055,0.151612,6.318751,0.025958,6.429534,0.038371,6.326225,0.058194,9.656967,0.106682
63,6.752781,0.030456,640.100000,9.408042,163.720000,9.137450,96.180000,2.913448,685.040000,8.510519,46.740000,7.499571,638.300000,5.180000,9.196542,0.143136,6.321529,0.029420,6.395781,0.039994,6.472758,0.067450,9.587812,0.087517
64,6.765233,0.030384,644.660000,8.501975,160.420000,8.180619,94.920000,2.595913,681.940000,7.732748,46.920000,7.447124,635.020000,5.839189,9.211634,0.141305,6.333515,0.032850,6.419195,0.040170,6.416444,0.065031,9.666651,0.091649
65,6.750268,0.033194,643.540000,7.355896,159.100000,7.204928,97.360000,2.757544,680.280000,8.830800,41.520000,8.130853,638.760000,4.836974,9.253212,0.142453,6.308572,0.032997,6.410230,0.040545,6.417412,0.068023,9.526089,0.090545
66,6.776592,0.029867,649.800000,8.550963,154.940000,7.951686,95.260000,2.375753,681.420000,9.048306,44.400000,7.730232,637.020000,4.544458,9.316922,0.131781,6.328298,0.029482,6.433842,0.038611,6.429601,0.061216,9.654134,0.094421
67,6.721269,0.036796,649.900000,7.590066,155.900000,6.914186,94.200000,2.595405,692.860000,9.842947,49.400000,7.108251,643.460000,6.385034,9.228950,0.147556,6.278737,0.031675,6.378518,0.046795,6.354477,0.056927,9.692896,0.096303
68,6.744321,0.027740,646.620000,7.453238,157.900000,7.269924,95.480000,2.819665,684.600000,9.242545,44.260000,7.429410,640.340000,4.605165,9.299771,0.129470,6.293359,0.025632,6.407671,0.035424,6.398229,0.068582,9.606396,0.110821
69,6.748047,0.032943,641.500000,7.983732,164.320000,8.353286,94.180000,2.790290,681.980000,8.128008,47.160000,7.580994,634.820000,4.622864,9.157578,0.139853,6.322835,0.027752,6.423098,0.038526,6.322471,0.065542,9.704234,0.088454
