step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
40,6.177533,0.022940,179.870000,2.099629,57.590000,1.589471,62.540000,1.506904,107.445000,2.427159,6.265354,0.025564,5.834711,0.042844,6.274616,0.047935
41,6.191767,0.024408,175.505000,2.125929,59.960000,1.668090,64.535000,1.597690,106.800000,2.828903,6.302189,0.023988,5.826352,0.046433,6.263142,0.046664
42,6.190550,0.022725,176.765000,2.045874,59.900000,1.638794,63.335000,1.576612,109.335000,2.622643,6.283538,0.022909,5.858027,0.047823,6.289149,0.047876
43,6.213517,0.021441,178.960000,2.005316,58.905000,1.683913,62.135000,1.465787,107.185000,2.652352,6.303290,0.023738,5.890536,0.042400,6.294755,0.045204
44,6.188433,0.020762,178.380000,2.159648,58.625000,1.624682,62.995000,1.479278,108.400000,2.679431,6.289664,0.023069,5.836339,0.047343,6.266062,0.045023
45,6.187767,0.020403,177.130000,2.226796,59.425000,1.609041,63.445000,1.641895,110.700000,2.483271,6.295479,0.024127,5.817344,0.042371,6.267642,0.046043
46,6.198783,0.020156,178.445000,2.187542,59.485000,1.616555,62.070000,1.617422,108.300000,2.651330,6.282844,0.022479,5.861927,0.046725,6.313458,0.043561
47,6.203567,0.020324,179.130000,2.092583,59.075000,1.579649,61.795000,1.521975,107.730000,2.767632,6.294284,0.023467,5.881553,0.044043,6.283183,0.045011
48,6.196167,0.023870,178.620000,2.062067,58.830000,1.580637,62.550000,1.500608,111.035000,2.955533,6.298869,0.026709,5.852124,0.045765,6.256724,0.047557
49,6.171617,0.022033,178.620000,2.091487,59.405000,1.637444,61.975000,1.457053,110.120000,2.945201,6.271494,0.025318,5.812717,0.047835,6.272159,0.047441
50,6.173750,0.021239,178.715000,2.144795,58.820000,1.601605,62.465000,1.650349,111.365000,2.491970,6.276831,0.023417,5.815815,0.042655,6.258708,0.046419
51,6.186133,0.020464,178.745000,2.246418,58.600000,1.689144,62.655000,1.653137,108.705000,2.724329,6.283150,0.020084,5.830017,0.047190,6.280901,0.052816
52,6.200633,0.023376,176.720000,2.064575,58.405000,1.547621,64.875000,1.731523,107.270000,2.735640,6.302808,0.025125,5.868217,0.045232,6.255448,0.051366
53,6.176700,0.022311,177.660000,1.875105,58.075000,1.627680,64.265000,1.528504,109.305000,2.608136,6.270574,0.024015,5.836554,0.043298,6.264306,0.048569
54,6.184000,0.023426,177.610000,2.019941,58.995000,1.521290,63.395000,1.603962,109.385000,2.966919,6.288514,0.025931,5.836802,0.047957,6.260579,0.045002
55,6.172017,0.024200,177.175000,2.336000,60.030000,1.744960,62.795000,1.520261,109.625000,2.842635,6.273346,0.023758,5.826737,0.048723,6.270889,0.050786
56,6.196267,0.019701,178.625000,2.006115,58.060000,1.535445,63.315000,1.442548,109.180000,2.407837,6.283223,0.023216,5.869035,0.045328,6.266749,0.041864
57,6.184650,0.021616,175.695000,2.147531,60.305000,1.659292,64.000000,1.528537,110.430000,2.530839,6.296039,0.024464,5.830173,0.045415,6.247768,0.040509
58,6.175600,0.022952,175.995000,2.113018,59.775000,1.648568,64.230000,1.524092,111.130000,2.737425,6.276283,0.024269,5.847448,0.047838,6.237189,0.050407
59,6.182117,0.020467,176.410000,1.969981,60.135000,1.473078,63.455000,1.478057,108.725000,2.774154,6.271691,0.024346,5.821198,0.042490,6.294922,0.041705
60,6.177150,0.022211,177.915000,2.128732,59.185000,1.663642,62.900000,1.582339,111.850000,2.559707,6.270916,0.022860,5.846846,0.043062,6.255065,0.047486
61,6.179217,0.023082,177.220000,1.997809,60.205000,1.676946,62.575000,1.505789,111.230000,2.743392,6.284219,0.024276,5.789295,0.048401,6.292699,0.045561
62,6.174950,0.019452,177.845000,2.076692,58.400000,1.621921,63.755000,1.612101,108.710000,2.571101,6.261889,0.023329,5.855438,0.045555,6.277527,0.046957
63,6.208450,0.021879,177.805000,1.877382,58.260000,1.493483,63.935000,1.611178,107.080000,2.564025,6.305804,0.023457,5.854938,0.048722,6.289760,0.045610
64,6.160300,0.023584,178.515000,1.908551,59.125000,1.585200,62.360000,1.545058,111.525000,2.626859,6.259580,0.026066,5.769237,0.047810,6.279819,0.046996
65,6.178300,0.019765,175.965000,1.946280,60.530000,1.630403,63.505000,1.504478,109.630000,2.708642,6.286418,0.021652,5.820608,0.044239,6.253214,0.045404
66,6.188450,0.022934,177.515000,2.083461,59.290000,1.785893,63.195000,1.534694,110.940000,2.746554,6.282651,0.025198,5.854653,0.044382,6.269268,0.042693
67,6.170733,0.022643,178.375000,2.111279,58.955000,1.642753,62.670000,1.620499,111.960000,2.735186,6.268020,0.025252,5.835366,0.047437,6.252441,0.049622
68,6.173083,0.021158,176.965000,2.158478,60.480000,1.618046,62.555000,1.681739,111.125000,2.356425,6.284672,0.022798,5.801988,0.043215,6.261200,0.045514
69,6.182417,0.021779,178.075000,2.105029,59.285000,1.700215,62.640000,1.614168,109.000000,2.796680,6.272598,0.023447,5.848035,0.051035,6.282698,0.044290
70,6.189567,0.020338,176.850000,2.151866,58.600000,1.618883,64.550000,1.681455,108.335000,2.493251,6.281894,0.021619,5.865059,0.049597,6.268755,0.044766
71,6.172767,0.022304,177.500000,2.150845,59.670000,1.675726,62.830000,1.594559,110.080000,2.645548,6.263941,0.026249,5.819362,0.042825,6.275413,0.042057
72,6.186383,0.020309,177.570000,2.094160,58.775000,1.760628,63.655000,1.615337,109.280000,2.559458,6.285144,0.022586,5.849584,0.045689,6.259165,0.042195
73,6.178750,0.022525,176.070000,2.113978,60.340000,1.644347,63.590000,1.489402,108.215000,2.823912,6.270361,0.025501,5.854510,0.047783,6.259449,0.044495
74,6.183783,0.020757,176.070000,2.095358,61.135000,1.783464,62.795000,1.622831,108.990000,2.666141,6.270471,0.023524,5.857573,0.042687,6.294815,0.044293
75,6.198717,0.022782,177.015000,1.837303,59.710000,1.554249,63.275000,1.435731,110.265000,2.513694,6.297072,0.024713,5.867325,0.045281,6.260517,0.044913
76,6.189617,0.020433,178.945000,2.074557,59.360000,1.651294,61.695000,1.494837,109.075000,2.528871,6.278120,0.024587,5.863033,0.043285,6.287567,0.042370
77,6.177617,0.021596,177.370000,1.966652,59.375000,1.584195,63.255000,1.555950,108.930000,2.569822,6.285209,0.024356,5.811465,0.044433,6.259163,0.044012
78,6.178500,0.019025,177.310000,2.099265,58.875000,1.715788,63.815000,1.519295,108.235000,2.671241,6.273083,0.022874,5.857517,0.042127,6.244957,0.045481
79,6.181200,0.020301,178.015000,2.051081,58.925000,1.611349,63.060000,1.626653,110.535000,2.534131,6.274038,0.023359,5.833528,0.044883,6.280774,0.045724
80,6.189100,0.019316,176.530000,1.975350,60.215000,1.626430,63.255000,1.564672,108.120000,2.564823,6.291186,0.021331,5.853499,0.042457,6.263635,0.042547
81,6.176550,0.021353,177.015000,1.942413,58.855000,1.739003,64.130000,1.508407,110.975000,2.837945,6.263445,0.022722,5.852652,0.043988,6.261160,0.041994
82,6.176800,0.022649,178.160000,2.044055,58.270000,1.566381,63.570000,1.601590,111.425000,2.558224,6.279835,0.023331,5.816912,0.049034,6.254535,0.048876
83,6.198483,0.021433,177.475000,2.013775,60.730000,1.623866,61.795000,1.642988,107.950000,2.631441,6.295717,0.022145,5.836883,0.044001,6.313384,0.046850
84,6.183800,0.022069,178.665000,2.091890,58.345000,1.525035,62.990000,1.561522,109.415000,2.793927,6.278440,0.023601,5.884266,0.043069,6.231587,0.050938
85,6.189883,0.019419,177.450000,2.023949,59.175000,1.657618,63.375000,1.583219,109.490000,2.625612,6.296161,0.021630,5.839366,0.045651,6.257287,0.044843
86,6.206533,0.022545,180.710000,1.972449,57.950000,1.621489,61.340000,1.427810,108.110000,2.751685,6.295571,0.022670,5.866076,0.047109,6.308581,0.050944
87,6.191167,0.021982,177.010000,2.296812,59.105000,1.675512,63.885000,1.562461,108.190000,2.722366,6.303126,0.024698,5.835757,0.048523,6.248462,0.041211
88,6.190633,0.021314,178.270000,2.060717,59.475000,1.741972,62.255000,1.593160,110.535000,2.693045,6.289382,0.024064,5.848762,0.047522,6.274815,0.044623
89,6.169033,0.023734,177.365000,2.068172,59.955000,1.564876,62.680000,1.506387,108.885000,3.047087,6.271265,0.024943,5.811768,0.045174,6.251564,0.049534
90,6.188167,0.020794,178.025000,2.147587,59.865000,1.713972,62.110000,1.466782,110.015000,2.499948,6.287458,0.024083,5.844595,0.047464,6.274586,0.042339
91,6.191617,0.022286,177.635000,1.907094,60.020000,1.548423,62.345000,1.444288,110.625000,2.704189,6.293654,0.025400,5.861720,0.046648,6.253421,0.048232
92,6.177367,0.022578,177.765000,2.017177,58.685000,1.626412,63.550000,1.513418,109.665000,2.711206,6.275622,0.026263,5.848670,0.045076,6.240332,0.041673
93,6.192700,0.020513,178.095000,2.162553,58.595000,1.600239,63.310000,1.563586,110.040000,2.598780,6.295278,0.024126,5.828031,0.045977,6.274206,0.041558
94,6.184650,0.022348,178.010000,2.267885,58.375000,1.690026,63.615000,1.565023,109.330000,2.639585,6.286608,0.022576,5.825294,0.047094,6.258831,0.045691
95,6.194217,0.022734,177.125000,2.083320,60.135000,1.788328,62.740000,1.431712,108.315000,2.860005,6.291142,0.024022,5.825550,0.047562,6.308602,0.046390
96,6.199850,0.023028,177.835000,2.150611,59.750000,1.500351,62.415000,1.605428,110.300000,2.879494,6.301389,0.025873,5.844980,0.043025,6.283312,0.046029
97,6.201283,0.020858,178.505000,2.112127,58.430000,1.673559,63.065000,1.551668,107.325000,2.760551,6.289537,0.022609,5.891958,0.045944,6.280676,0.045304
98,6.195333,0.020285,176.645000,2.030527,59.830000,1.589952,63.525000,1.559911,107.535000,2.525126,6.285635,0.023294,5.847149,0.045667,6.309725,0.043750
99,6.190933,0.021903,176.880000,2.137501,59.740000,1.701626,63.380000,1.606828,107.980000,2.925682,6.288031,0.024403,5.831732,0.044739,6.296245,0.044017
100,6.201583,0.019932,177.490000,2.016795,59.990000,1.593341,62.520000,1.620251,109.300000,2.370070,6.300074,0.022316,5.835685,0.043789,6.310327,0.045634
