step,avg_utility,avg_utility_ci,n_relocations,n_relocations_ci,utility_algorithmic,utility_algorithmic_ci,utility_coalition,utility_coalition_ci,utility_direct,utility_direct_ci
24,6.193950,0.022343,108.48,2.93,6.286797,0.023453,5.864804,0.045324,6.267064,0.043705
25,6.195050,0.019961,109.05,2.89,6.301932,0.023228,5.862523,0.041990,6.243201,0.047418
26,6.169400,0.022491,111.64,2.93,6.272273,0.025087,5.794648,0.046611,6.275618,0.045375
27,6.177950,0.022945,111.16,2.80,6.274623,0.024657,5.840853,0.046991,6.254036,0.047396
28,6.199583,0.019846,108.58,2.63,6.298894,0.021885,5.881977,0.044078,6.255747,0.044152
29,6.208867,0.021580,107.21,2.71,6.302804,0.023089,5.869183,0.046773,6.305456,0.044750
30,6.184217,0.019665,108.98,2.69,6.274634,0.022375,5.869708,0.045929,6.258042,0.048601
31,6.186833,0.021682,109.01,2.57,6.288790,0.023728,5.846126,0.048486,6.263584,0.046976
32,6.174100,0.020575,109.06,2.66,6.263262,0.023838,5.820206,0.043744,6.281873,0.045458
33,6.185550,0.021482,109.58,2.65,6.289143,0.023108,5.813888,0.042743,6.257825,0.046783
34,6.195433,0.019522,108.22,2.55,6.289842,0.022398,5.864231,0.045281,6.273223,0.043675
35,6.195617,0.021560,108.48,2.72,6.289104,0.022694,5.852994,0.045122,6.283799,0.048864
36,6.183567,0.023398,109.03,2.70,6.277395,0.025466,5.838550,0.044020,6.271638,0.043798
37,6.193250,0.024790,109.02,2.71,6.298400,0.025164,5.841927,0.046835,6.267039,0.047497
38,6.176667,0.018907,111.41,2.66,6.271195,0.021340,5.838056,0.046305,6.277849,0.047199
39,6.190933,0.021587,107.99,2.83,6.282080,0.024054,5.872412,0.048568,6.274492,0.044493
40,6.177533,0.022940,107.44,2.43,6.265354,0.025564,5.834711,0.042844,6.274616,0.047935
41,6.191767,0.024408,106.80,2.83,6.302189,0.023988,5.826352,0.046433,6.263142,0.046664
42,6.190550,0.022725,109.33,2.62,6.283538,0.022909,5.858027,0.047823,6.289149,0.047876
43,6.213517,0.021441,107.19,2.65,6.303290,0.023738,5.890536,0.042400,6.294755,0.045204
44,6.188433,0.020762,108.40,2.68,6.289664,0.023069,5.836339,0.047343,6.266062,0.045023
45,6.187767,0.020403,110.70,2.48,6.295479,0.024127,5.817344,0.042371,6.267642,0.046043
46,6.198783,0.020156,108.30,2.65,6.282844,0.022479,5.861927,0.046725,6.313458,0.043561
47,6.203567,0.020324,107.73,2.77,6.294284,0.023467,5.881553,0.044043,6.283183,0.045011
48,6.196167,0.023870,111.03,2.96,6.298869,0.026709,5.852124,0.045765,6.256724,0.047557
49,6.171617,0.022033,110.12,2.95,6.271494,0.025318,5.812717,0.047835,6.272159,0.047441
50,6.173750,0.021239,111.36,2.49,6.276831,0.023417,5.815815,0.042655,6.258708,0.046419
51,6.186133,0.020464,108.70,2.72,6.283150,0.020084,5.830017,0.047190,6.280901,0.052816
52,6.200633,0.023376,107.27,2.74,6.302808,0.025125,5.868217,0.045232,6.255448,0.051366
53,6.176700,0.022311,109.31,2.61,6.270574,0.024015,5.836554,0.043298,6.264306,0.048569
54,6.184000,0.023426,109.39,2.97,6.288514,0.025931,5.836802,0.047957,6.260579,0.045002
55,6.172017,0.024200,109.62,2.84,6.273346,0.023758,5.826737,0.048723,6.270889,0.050786
56,6.196267,0.019701,109.18,2.41,6.283223,0.023216,5.869035,0.045328,6.266749,0.041864
57,6.184650,0.021616,110.43,2.53,6.296039,0.024464,5.830173,0.045415,6.247768,0.040509
58,6.175600,0.022952,111.13,2.74,6.276283,0.024269,5.847448,0.047838,6.237189,0.050407
59,6.182117,0.020467,108.72,2.77,6.271691,0.024346,5.821198,0.042490,6.294922,0.041705
60,6.177150,0.022211,111.85,2.56,6.270916,0.022860,5.846846,0.043062,6.255065,0.047486
61,6.179217,0.023082,111.23,2.74,6.284219,0.024276,5.789295,0.048401,6.292699,0.045561
62,6.174950,0.019452,108.71,2.57,6.261889,0.023329,5.855438,0.045555,6.277527,0.046957
63,6.208450,0.021879,107.08,2.56,6.305804,0.023457,5.854938,0.048722,6.289760,0.045610
64,6.160300,0.023584,111.53,2.63,6.259580,0.026066,5.769237,0.047810,6.279819,0.046996
65,6.178300,0.019765,109.63,2.71,6.286418,0.021652,5.820608,0.044239,6.253214,0.045404
66,6.188450,0.022934,110.94,2.75,6.282651,0.025198,5.854653,0.044382,6.269268,0.042693
67,6.170733,0.022643,111.96,2.74,6.268020,0.025252,5.835366,0.047437,6.252441,0.049622
68,6.173083,0.021158,111.12,2.36,6.284672,0.022798,5.801988,0.043215,6.261200,0.045514
69,6.182417,0.021779,109.00,2.80,6.272598,0.023447,5.848035,0.051035,6.282698,0.044290
70,6.189567,0.020338,108.33,2.49,6.281894,0.021619,5.865059,0.049597,6.268755,0.044766
71,6.172767,0.022304,110.08,2.65,6.263941,0.026249,5.819362,0.042825,6.275413,0.042057
72,6.186383,0.020309,109.28,2.56,6.285144,0.022586,5.849584,0.045689,6.259165,0.042195
73,6.178750,0.022525,108.22,2.82,6.270361,0.025501,5.854510,0.047783,6.259449,0.044495
74,6.183783,0.020757,108.99,2.67,6.270471,0.023524,5.857573,0.042687,6.294815,0.044293
75,6.198717,0.022782,110.27,2.51,6.297072,0.024713,5.867325,0.045281,6.260517,0.044913
76,6.189617,0.020433,109.08,2.53,6.278120,0.024587,5.863033,0.043285,6.287567,0.042370
77,6.177617,0.021596,108.93,2.57,6.285209,0.024356,5.811465,0.044433,6.259163,0.044012
78,6.178500,0.019025,108.23,2.67,6.273083,0.022874,5.857517,0.042127,6.244957,0.045481
79,6.181200,0.020301,110.53,2.53,6.274038,0.023359,5.833528,0.044883,6.280774,0.045724
80,6.189100,0.019316,108.12,2.56,6.291186,0.021331,5.853499,0.042457,6.263635,0.042547
81,6.176550,0.021353,110.97,2.84,6.263445,0.022722,5.852652,0.043988,6.261160,0.041994
82,6.176800,0.022649,111.42,2.56,6.279835,0.023331,5.816912,0.049034,6.254535,0.048876
83,6.198483,0.021433,107.95,2.63,6.295717,0.022145,5.836883,0.044001,6.313384,0.046850
84,6.183800,0.022069,109.42,2.79,6.278440,0.023601,5.884266,0.043069,6.231587,0.050938
85,6.189883,0.019419,109.49,2.63,6.296161,0.021630,5.839366,0.045651,6.257287,0.044843
86,6.206533,0.022545,108.11,2.75,6.295571,0.022670,5.866076,0.047109,6.308581,0.050944
87,6.191167,0.021982,108.19,2.72,6.303126,0.024698,5.835757,0.048523,6.248462,0.041211
88,6.190633,0.021314,110.53,2.69,6.289382,0.024064,5.848762,0.047522,6.274815,0.044623
89,6.169033,0.023734,108.89,3.05,6.271265,0.024943,5.811768,0.045174,6.251564,0.049534
90,6.188167,0.020794,110.02,2.50,6.287458,0.024083,5.844595,0.047464,6.274586,0.042339
91,6.191617,0.022286,110.62,2.70,6.293654,0.025400,5.861720,0.046648,6.253421,0.048232
92,6.177367,0.022578,109.67,2.71,6.275622,0.026263,5.848670,0.045076,6.240332,0.041673
93,6.192700,0.020513,110.04,2.60,6.295278,0.024126,5.828031,0.045977,6.274206,0.041558
94,6.184650,0.022348,109.33,2.64,6.286608,0.022576,5.825294,0.047094,6.258831,0.045691
95,6.194217,0.022734,108.31,2.86,6.291142,0.024022,5.825550,0.047562,6.308602,0.046390
96,6.199850,0.023028,110.30,2.88,6.301389,0.025873,5.844980,0.043025,6.283312,0.046029
97,6.201283,0.020858,107.33,2.76,6.289537,0.022609,5.891958,0.045944,6.280676,0.045304
98,6.195333,0.020285,107.53,2.53,6.285635,0.023294,5.847149,0.045667,6.309725,0.043750
99,6.190933,0.021903,107.98,2.93,6.288031,0.024403,5.831732,0.044739,6.296245,0.044017
100,6.201583,0.019932,109.30,2.37,6.300074,0.022316,5.835685,0.043789,6.310327,0.045634
