step,avg_utility,avg_utility_ci,n_relocations,n_relocations_ci,utility_algorithmic,utility_algorithmic_ci,utility_coalition,utility_coalition_ci,utility_direct,utility_direct_ci
59,6.630300,0.015984,239.05,1.30,6.594537,0.018376,6.538578,0.028483,7.582186,0.066439
60,6.623683,0.014262,239.70,1.24,6.584824,0.015828,6.534092,0.028156,7.609811,0.068413
61,6.625133,0.016026,240.00,1.31,6.580182,0.018483,6.564047,0.026415,7.606594,0.062392
62,6.621133,0.015804,239.69,1.21,6.583597,0.016290,6.522597,0.026924,7.610120,0.059634
63,6.623450,0.013851,238.94,1.22,6.588484,0.015997,6.522097,0.024274,7.629631,0.066962
64,6.622317,0.014911,239.77,1.24,6.581199,0.016947,6.537099,0.025762,7.632180,0.061563
65,6.613633,0.015962,240.62,1.38,6.569636,0.017678,6.530591,0.027684,7.677083,0.062768
66,6.633817,0.014245,239.67,1.31,6.604202,0.016117,6.512402,0.025031,7.607064,0.058284
67,6.624250,0.015497,240.21,1.30,6.587444,0.017048,6.531903,0.029825,7.617502,0.062943
68,6.631683,0.015658,239.54,1.22,6.595596,0.017141,6.543108,0.028039,7.643700,0.058851
69,6.622217,0.015876,240.35,1.25,6.584273,0.017405,6.537122,0.028827,7.603809,0.061173
70,6.614517,0.017314,240.25,1.37,6.574827,0.018749,6.535005,0.029500,7.602812,0.065383
71,6.629067,0.015740,239.21,1.37,6.592911,0.017401,6.538520,0.026310,7.608897,0.063163
72,6.630683,0.015649,239.55,1.27,6.590125,0.018723,6.551916,0.025920,7.597669,0.064388
73,6.625300,0.014821,239.99,1.28,6.580096,0.016263,6.550869,0.031780,7.680359,0.056193
74,6.632483,0.014590,239.30,1.30,6.597817,0.017256,6.529874,0.024372,7.612414,0.060450
75,6.627783,0.015601,240.02,1.24,6.590435,0.017124,6.530926,0.028061,7.615498,0.068474
76,6.629650,0.015844,239.04,1.34,6.584714,0.017890,6.558750,0.028013,7.629985,0.062648
77,6.614533,0.015279,240.68,1.29,6.572102,0.016762,6.535522,0.029384,7.625602,0.064166
78,6.621833,0.015924,239.67,1.38,6.590719,0.017326,6.506924,0.028598,7.630841,0.066350
79,6.626500,0.015139,240.37,1.33,6.592066,0.017325,6.525235,0.027989,7.626602,0.066432
80,6.637700,0.015733,238.36,1.34,6.606156,0.018188,6.519178,0.026563,7.601803,0.066140
81,6.621233,0.014990,239.78,1.38,6.582066,0.017514,6.532662,0.027565,7.586708,0.069693
82,6.622150,0.016274,239.82,1.33,6.579948,0.018299,6.538252,0.027542,7.632082,0.063260
83,6.622083,0.014874,239.83,1.32,6.584406,0.016809,6.526651,0.027628,7.617019,0.064133
84,6.611050,0.015833,240.56,1.50,6.569191,0.017977,6.528341,0.026950,7.626718,0.063081
85,6.612533,0.014874,240.31,1.31,6.565053,0.016127,6.555679,0.028080,7.626984,0.064608
86,6.626900,0.014507,239.46,1.29,6.586004,0.015771,6.541985,0.029076,7.636023,0.065168
87,6.624433,0.015872,239.94,1.37,6.590026,0.017607,6.515693,0.027201,7.573451,0.068085
88,6.628133,0.015218,239.19,1.33,6.589601,0.017565,6.523457,0.024928,7.634001,0.058189
89,6.631067,0.015700,239.19,1.27,6.588533,0.016699,6.549774,0.029759,7.635788,0.060114
90,6.629800,0.014667,239.35,1.25,6.585740,0.016565,6.555186,0.027499,7.629005,0.065128
91,6.621133,0.017097,240.22,1.34,6.584462,0.017870,6.515047,0.029993,7.618145,0.062553
92,6.622367,0.015241,240.45,1.28,6.588163,0.016925,6.517629,0.029027,7.628517,0.063700
93,6.601083,0.016367,240.81,1.32,6.559305,0.018279,6.509565,0.029051,7.696448,0.063488
94,6.617500,0.014587,240.12,1.27,6.583215,0.016148,6.524603,0.027051,7.615577,0.067090
95,6.618083,0.014878,239.09,1.31,6.577891,0.016945,6.533215,0.026349,7.630534,0.068187
96,6.629817,0.014423,239.25,1.32,6.589979,0.016307,6.551140,0.027805,7.589349,0.062863
97,6.617250,0.015622,240.57,1.35,6.584712,0.017390,6.501183,0.026650,7.653432,0.058542
98,6.619867,0.014886,239.91,1.25,6.574055,0.016302,6.559181,0.024801,7.635149,0.068232
99,6.615417,0.014916,239.93,1.33,6.570906,0.016165,6.546163,0.028426,7.651105,0.061348
100,6.625867,0.016089,239.23,1.47,6.588045,0.017640,6.535719,0.026984,7.612364,0.061696
