step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
22,6.620950,0.014777,229.010000,1.349800,56.775000,1.163328,14.215000,0.745489,239.785000,1.273252,6.580005,0.016555,6.540140,0.027800,7.639018,0.072803
23,6.617633,0.015398,231.370000,1.207850,54.555000,1.137932,14.075000,0.758715,241.475000,1.345642,6.577083,0.016580,6.529760,0.029002,7.657717,0.066422
24,6.636967,0.017546,229.820000,1.396597,55.730000,1.221155,14.450000,0.805706,238.915000,1.521561,6.599607,0.019589,6.547547,0.029017,7.621053,0.064127
25,6.626767,0.014856,229.695000,1.382387,55.555000,1.119633,14.750000,0.794487,239.960000,1.204051,6.588793,0.016330,6.534590,0.026491,7.598123,0.062374
26,6.632133,0.014836,229.150000,1.362877,56.420000,1.129902,14.430000,0.805558,238.040000,1.297132,6.592837,0.016866,6.538989,0.027311,7.657992,0.060468
27,6.628817,0.015564,229.365000,1.263763,56.035000,1.136292,14.600000,0.779308,239.915000,1.249986,6.587501,0.017280,6.552087,0.027850,7.605561,0.068743
28,6.620133,0.014286,230.315000,1.343606,55.820000,1.183100,13.865000,0.740135,239.550000,1.215056,6.581484,0.015657,6.537402,0.028008,7.619124,0.059765
29,6.613650,0.016087,229.605000,1.181723,55.810000,1.139008,14.585000,0.788331,238.965000,1.463329,6.574732,0.017618,6.526421,0.031604,7.616931,0.062682
30,6.625167,0.014866,228.225000,1.292779,56.945000,1.088288,14.830000,0.753631,239.925000,1.273635,6.586485,0.016078,6.527177,0.027497,7.611238,0.057890
31,6.612867,0.015991,228.840000,1.390618,56.220000,1.176259,14.940000,0.809995,239.710000,1.247962,6.571080,0.017377,6.524796,0.029005,7.634259,0.060162
32,6.608333,0.015425,229.845000,1.327673,55.455000,1.179835,14.700000,0.765940,240.925000,1.317224,6.565998,0.017434,6.528636,0.028141,7.611678,0.062246
33,6.616317,0.016161,228.675000,1.192621,56.375000,1.044316,14.950000,0.860844,239.800000,1.398961,6.576848,0.017815,6.513100,0.025931,7.680515,0.060236
34,6.615233,0.016296,228.870000,1.323611,56.760000,1.116226,14.370000,0.812335,240.645000,1.339816,6.570713,0.017305,6.550393,0.028416,7.629380,0.070123
35,6.639233,0.014559,228.935000,1.309075,56.550000,1.087006,14.515000,0.800325,238.495000,1.167598,6.599471,0.015491,6.552161,0.028577,7.626358,0.068859
36,6.611867,0.014762,229.525000,1.322343,56.620000,1.124696,13.855000,0.731968,240.345000,1.243236,6.573743,0.017043,6.528619,0.027971,7.629964,0.062119
37,6.625917,0.016712,229.725000,1.379643,55.785000,1.230224,14.490000,0.804896,240.290000,1.367743,6.588822,0.017722,6.530479,0.030594,7.639905,0.062148
38,6.622750,0.015564,228.885000,1.251715,57.550000,1.106194,13.565000,0.721767,239.680000,1.330553,6.589465,0.016937,6.517018,0.028117,7.677266,0.063390
39,6.616317,0.016568,229.780000,1.311291,56.205000,1.137643,14.015000,0.808783,241.125000,1.271739,6.576152,0.018118,6.533867,0.029512,7.667277,0.063404
40,6.628633,0.015035,229.000000,1.308922,56.280000,1.128859,14.720000,0.825986,238.970000,1.270826,6.598701,0.016612,6.518326,0.030269,7.564735,0.072013
41,6.630833,0.014764,229.725000,1.333971,55.580000,1.089366,14.695000,0.856510,239.725000,1.297883,6.593900,0.016039,6.532755,0.029195,7.632552,0.067028
42,6.623200,0.015558,230.390000,1.259985,55.640000,1.048615,13.970000,0.756801,240.055000,1.283770,6.582993,0.016742,6.537084,0.027737,7.650599,0.067790
43,6.624667,0.014583,229.665000,1.316882,56.125000,1.119481,14.210000,0.782224,239.710000,1.333946,6.587371,0.016566,6.529684,0.025020,7.653113,0.061239
44,6.622533,0.015588,229.140000,1.388437,56.810000,1.161248,14.050000,0.800659,239.830000,1.311950,6.584234,0.016820,6.533366,0.025922,7.652206,0.070609
45,6.631700,0.016009,228.525000,1.309728,56.605000,1.089059,14.870000,0.847232,238.695000,1.302950,6.595802,0.018061,6.528473,0.029293,7.600655,0.062701
46,6.624267,0.015337,228.840000,1.362005,56.720000,1.226553,14.440000,0.733186,238.605000,1.317660,6.582946,0.016885,6.538177,0.029938,7.658719,0.061144
47,6.628717,0.015799,228.950000,1.307502,55.805000,1.170298,15.245000,0.840275,239.105000,1.288588,6.583562,0.017256,6.551628,0.027499,7.621942,0.063154
48,6.605317,0.014794,229.115000,1.304577,56.535000,1.183109,14.350000,0.778161,241.220000,1.270161,6.561407,0.016356,6.527561,0.027439,7.647459,0.062577
49,6.617583,0.015966,229.275000,1.213402,55.760000,1.077238,14.965000,0.768253,239.530000,1.283523,6.575363,0.017124,6.528976,0.028178,7.645276,0.059596
50,6.620583,0.015032,229.185000,1.372216,56.710000,1.164170,14.105000,0.783187,240.575000,1.221765,6.578726,0.016840,6.535588,0.026319,7.701382,0.066263
51,6.624917,0.014594,229.640000,1.350232,56.215000,1.182211,14.145000,0.697809,239.445000,1.224469,6.590053,0.016947,6.517930,0.027399,7.670407,0.064377
52,6.617167,0.015068,229.670000,1.343285,56.020000,1.169330,14.310000,0.732494,240.360000,1.194732,6.579864,0.016258,6.519657,0.027331,7.628650,0.058326
53,6.612067,0.015404,230.190000,1.168457,55.500000,1.107785,14.310000,0.699051,240.840000,1.265462,6.572809,0.017171,6.525106,0.028816,7.619601,0.062182
54,6.626650,0.015398,229.480000,1.362325,56.120000,1.103557,14.400000,0.822454,239.725000,1.187836,6.587225,0.017032,6.538758,0.028172,7.653936,0.063007
55,6.627217,0.016963,229.985000,1.318289,55.520000,1.099034,14.495000,0.799965,239.740000,1.289475,6.587952,0.018583,6.538824,0.030043,7.656336,0.066099
56,6.622550,0.016534,229.920000,1.262172,56.155000,1.099046,13.925000,0.807046,240.485000,1.266799,6.587395,0.017576,6.526621,0.028518,7.611384,0.061342
57,6.617500,0.016398,229.795000,1.190301,55.675000,1.116805,14.530000,0.803686,240.180000,1.307281,6.579212,0.018044,6.521923,0.028668,7.641943,0.066603
58,6.618450,0.015408,230.105000,1.245935,55.470000,1.096304,14.425000,0.777129,240.525000,1.283224,6.577689,0.017562,6.540847,0.025182,7.591135,0.065837
59,6.630300,0.015984,229.725000,1.381321,55.665000,1.183713,14.610000,0.734389,239.050000,1.296455,6.594537,0.018376,6.538578,0.028483,7.582186,0.066439
60,6.623683,0.014262,229.245000,1.337047,56.305000,1.066970,14.450000,0.784954,239.700000,1.243034,6.584824,0.015828,6.534092,0.028156,7.609811,0.068413
61,6.625133,0.016026,228.185000,1.351450,57.460000,1.176069,14.355000,0.755012,239.995000,1.308221,6.580182,0.018483,6.564047,0.026415,7.606594,0.062392
62,6.621133,0.015804,228.490000,1.443379,56.960000,1.201804,14.550000,0.846598,239.685000,1.212418,6.583597,0.016290,6.522597,0.026924,7.610120,0.059634
63,6.623450,0.013851,228.485000,1.252008,57.145000,1.086886,14.370000,0.846662,238.935000,1.221184,6.588484,0.015997,6.522097,0.024274,7.629631,0.066962
64,6.622317,0.014911,229.355000,1.260760,56.060000,1.135294,14.585000,0.787229,239.770000,1.242623,6.581199,0.016947,6.537099,0.025762,7.632180,0.061563
65,6.613633,0.015962,229.995000,1.325009,55.555000,1.216084,14.450000,0.755121,240.625000,1.381356,6.569636,0.017678,6.530591,0.027684,7.677083,0.062768
66,6.633817,0.014245,229.715000,1.323689,56.060000,1.210910,14.225000,0.708521,239.670000,1.313420,6.604202,0.016117,6.512402,0.025031,7.607064,0.058284
67,6.624250,0.015497,229.940000,1.324655,55.800000,1.143458,14.260000,0.761801,240.210000,1.298601,6.587444,0.017048,6.531903,0.029825,7.617502,0.062943
68,6.631683,0.015658,229.935000,1.372568,55.700000,1.233133,14.365000,0.766718,239.540000,1.224953,6.595596,0.017141,6.543108,0.028039,7.643700,0.058851
69,6.622217,0.015876,229.455000,1.386194,56.365000,1.277059,14.180000,0.775180,240.355000,1.249995,6.584273,0.017405,6.537122,0.028827,7.603809,0.061173
70,6.614517,0.017314,229.050000,1.340814,56.190000,1.168539,14.760000,0.794060,240.250000,1.372826,6.574827,0.018749,6.535005,0.029500,7.602812,0.065383
71,6.629067,0.015740,227.915000,1.293177,57.525000,1.225906,14.560000,0.823350,239.210000,1.368378,6.592911,0.017401,6.538520,0.026310,7.608897,0.063163
72,6.630683,0.015649,228.680000,1.437332,56.620000,1.223669,14.700000,0.801533,239.550000,1.270586,6.590125,0.018723,6.551916,0.025920,7.597669,0.064388
73,6.625300,0.014821,230.875000,1.356643,54.680000,1.134965,14.445000,0.855213,239.985000,1.283340,6.580096,0.016263,6.550869,0.031780,7.680359,0.056193
74,6.632483,0.014590,229.755000,1.345969,55.665000,1.209206,14.580000,0.816962,239.300000,1.304120,6.597817,0.017256,6.529874,0.024372,7.612414,0.060450
75,6.627783,0.015601,228.770000,1.310890,56.755000,1.196787,14.475000,0.782883,240.020000,1.236023,6.590435,0.017124,6.530926,0.028061,7.615498,0.068474
76,6.629650,0.015844,229.150000,1.337859,55.750000,1.225182,15.100000,0.804777,239.040000,1.343122,6.584714,0.017890,6.558750,0.028013,7.629985,0.062648
77,6.614533,0.015279,228.760000,1.382669,56.670000,1.247770,14.570000,0.785416,240.675000,1.285629,6.572102,0.016762,6.535522,0.029384,7.587474,0.098393
78,6.621833,0.015924,230.015000,1.269501,55.950000,1.142677,14.035000,0.731570,239.670000,1.384543,6.590719,0.017326,6.506924,0.028598,7.592687,0.099863
79,6.626500,0.015139,229.955000,1.369627,55.650000,1.259982,14.395000,0.768067,240.370000,1.329287,6.592066,0.017325,6.525235,0.027989,7.588469,0.099886
80,6.637700,0.015733,228.875000,1.251927,56.600000,1.178705,14.525000,0.825024,238.360000,1.335280,6.606156,0.018188,6.519178,0.026563,7.601803,0.066140
81,6.621233,0.014990,230.010000,1.320155,55.505000,1.116205,14.485000,0.743557,239.785000,1.380058,6.582066,0.017514,6.532662,0.027565,7.586708,0.069693
82,6.622150,0.016274,228.790000,1.306825,56.365000,1.122859,14.845000,0.872687,239.820000,1.329319,6.579948,0.018299,6.538252,0.027542,7.632082,0.063260
83,6.622083,0.014874,229.820000,1.275288,55.900000,1.108134,14.280000,0.746690,239.830000,1.316577,6.584406,0.016809,6.526651,0.027628,7.617019,0.064133
84,6.611050,0.015833,228.435000,1.291146,56.880000,1.058192,14.685000,0.849311,240.565000,1.498473,6.569191,0.017977,6.528341,0.026950,7.626718,0.063081
85,6.612533,0.014874,229.465000,1.268847,56.210000,1.148393,14.325000,0.782637,240.315000,1.313014,6.565053,0.016127,6.555679,0.028080,7.626984,0.064608
86,6.626900,0.014507,229.180000,1.331568,55.895000,1.147115,14.925000,0.871895,239.455000,1.288693,6.586004,0.015771,6.541985,0.029076,7.636023,0.065168
87,6.624433,0.015872,229.670000,1.231575,55.500000,1.100617,14.830000,0.831222,239.945000,1.368774,6.590026,0.017607,6.515693,0.027201,7.573451,0.068085
88,6.628133,0.015218,228.090000,1.311661,56.905000,1.148477,15.005000,0.829756,239.190000,1.327912,6.589601,0.017565,6.523457,0.024928,7.634001,0.058189
89,6.631067,0.015700,229.270000,1.385770,55.935000,1.146499,14.795000,0.865267,239.190000,1.265459,6.588533,0.016699,6.549774,0.029759,7.635788,0.060114
90,6.629800,0.014667,229.265000,1.406289,55.725000,1.159297,15.010000,0.897324,239.355000,1.248218,6.585740,0.016565,6.555186,0.027499,7.629005,0.065128
91,6.621133,0.017097,229.815000,1.218493,55.405000,1.159809,14.780000,0.815638,240.220000,1.344223,6.584462,0.017870,6.515047,0.029993,7.618145,0.062553
92,6.622367,0.015241,228.955000,1.295081,56.570000,1.133837,14.475000,0.825609,240.450000,1.282758,6.588163,0.016925,6.517629,0.029027,7.590374,0.098114
93,6.601083,0.016367,230.270000,1.291156,55.935000,1.140252,13.795000,0.737211,240.815000,1.324979,6.559305,0.018279,6.509565,0.029051,7.696448,0.063488
94,6.617500,0.014587,229.270000,1.352780,56.560000,1.142667,14.170000,0.801305,240.125000,1.271512,6.583215,0.016148,6.524603,0.027051,7.615577,0.067090
95,6.618083,0.014878,228.875000,1.263057,56.950000,1.117653,14.175000,0.768888,239.090000,1.307313,6.577891,0.016945,6.533215,0.026349,7.630534,0.068187
96,6.629817,0.014423,228.535000,1.322047,56.720000,1.127490,14.745000,0.796458,239.245000,1.321508,6.589979,0.016307,6.551140,0.027805,7.589349,0.062863
97,6.617250,0.015622,230.275000,1.169245,55.660000,1.081459,14.065000,0.763426,240.575000,1.351547,6.584712,0.017390,6.501183,0.026650,7.615165,0.095055
98,6.619867,0.014886,229.515000,1.342916,56.125000,1.130293,14.360000,0.813609,239.910000,1.248241,6.574055,0.016302,6.559181,0.024801,7.635149,0.068232
99,6.615417,0.014916,229.165000,1.269904,56.575000,1.196782,14.260000,0.767733,239.930000,1.334880,6.570906,0.016165,6.546163,0.028426,7.651105,0.061348
100,6.625867,0.016089,228.855000,1.281904,56.835000,1.217756,14.310000,0.787487,239.230000,1.470523,6.588045,0.017640,6.535719,0.026984,7.612364,0.061696
